id_provincia_indec,fecha,puestos,masa
14.0,2020-03-01,718234.0,41265841438.0
14.0,2020-04-01,713219.0,40242429530.0
14.0,2020-05-01,706140.0,39862048442.0
14.0,2020-06-01,708115.0,59647152576.0
14.0,2020-07-01,706103.0,42549734431.0
14.0,2020-08-01,706618.0,43290138493.0
14.0,2020-09-01,708089.0,44611377551.0
14.0,2020-10-01,710232.0,46751216039.0
14.0,2020-11-01,712747.0,49126408194.0
14.0,2020-12-01,714356.0,72230403909.0
14.0,2021-01-01,717378.0,54355152796.0
14.0,2021-02-01,715749.0,53540295658.0
14.0,2021-03-01,722715.0,57605717378.0
14.0,2021-04-01,722603.0,60189188414.0
14.0,2021-05-01,722834.0,60759553768.0
14.0,2021-06-01,723282.0,89634042869.0
14.0,2021-07-01,723999.0,64350549205.0
14.0,2021-08-01,725972.0,66655121438.0
14.0,2021-09-01,730850.0,69761525956.0
14.0,2021-10-01,732592.0,73481249468.0
14.0,2021-11-01,739281.0,77549217218.0
14.0,2021-12-01,740483.0,114588928807.0
14.0,2022-01-01,745531.0,87483177877.0
14.0,2022-02-01,743460.0,85117306016.0
14.0,2022-03-01,761843.0,96975042089.0
14.0,2022-04-01,742701.0,97716980304.0
14.0,2022-05-01,754723.0,104219044336.0
14.0,2022-06-01,748732.0,153949137489.0
14.0,2022-07-01,752328.0,114965038790.0
14.0,2022-08-01,753861.0,121101375849.0
14.0,2022-09-01,757235.0,130178467416.0
14.0,2022-10-01,760998.0,137285652173.0
14.0,2022-11-01,765274.0,149947921488.0
18.0,2014-01-01,168475.0,1440560957.0
18.0,2014-02-01,168357.0,1408182790.0
18.0,2014-03-01,169177.0,1495154984.0
18.0,2014-04-01,169340.0,1578882488.0
18.0,2014-05-01,170313.0,1573591772.0
18.0,2014-06-01,170280.0,2311155416.0
18.0,2014-07-01,170121.0,1673159181.0
18.0,2014-08-01,170651.0,1722111135.0
18.0,2014-09-01,173225.0,1772202625.0
18.0,2014-10-01,173125.0,1845594286.0
18.0,2014-11-01,173811.0,1872041186.0
18.0,2014-12-01,173578.0,2660549270.0
18.0,2015-01-01,171684.0,1902218521.0
18.0,2015-02-01,172023.0,1888410585.0
18.0,2015-03-01,173865.0,1970320239.0
18.0,2015-04-01,172857.0,1991441038.0
18.0,2015-05-01,173620.0,2060509692.0
18.0,2015-06-01,174143.0,3067696738.0
18.0,2015-07-01,174587.0,2288081691.0
18.0,2015-08-01,175679.0,2304850657.0
18.0,2015-09-01,176221.0,2323612008.0
18.0,2015-10-01,177167.0,2368890306.0
18.0,2015-11-01,176988.0,2433647106.0
18.0,2015-12-01,175776.0,3450385874.0
18.0,2016-01-01,174426.0,2501463500.0
18.0,2016-02-01,174596.0,2447984572.0
18.0,2016-03-01,175324.0,2590351299.0
18.0,2016-04-01,176076.0,2686103721.0
18.0,2016-05-01,176387.0,2766287544.0
18.0,2016-06-01,176170.0,4002790282.0
18.0,2016-07-01,176339.0,3006115921.0
18.0,2016-08-01,176460.0,3094507573.0
18.0,2016-09-01,177604.0,3102396516.0
18.0,2016-10-01,177910.0,3302047078.0
18.0,2016-11-01,178307.0,3334778244.0
18.0,2016-12-01,178258.0,4810862953.0
18.0,2017-01-01,176392.0,3425514441.0
18.0,2017-02-01,176705.0,3396960940.0
18.0,2017-03-01,178139.0,3572439755.0
18.0,2017-04-01,178080.0,3649357666.0
18.0,2017-05-01,179015.0,3773516924.0
18.0,2017-06-01,179093.0,5460922097.0
18.0,2017-07-01,178937.0,4063851715.0
18.0,2017-08-01,180566.0,4115488502.0
18.0,2017-09-01,180929.0,4225083174.0
18.0,2017-10-01,181713.0,4364437088.0
18.0,2017-11-01,181843.0,4349321961.0
18.0,2017-12-01,181436.0,6203414380.0
18.0,2018-01-01,180312.0,4451489078.0
18.0,2018-02-01,180384.0,4372987883.0
18.0,2018-03-01,181783.0,4545765948.0
18.0,2018-04-01,182578.0,4671879862.0
18.0,2018-05-01,182719.0,4756716065.0
18.0,2018-06-01,181731.0,6861495137.0
18.0,2018-07-01,181664.0,5125161002.0
18.0,2018-08-01,181874.0,5308193500.0
18.0,2018-09-01,181758.0,5583938354.0
18.0,2018-10-01,183016.0,5745912446.0
18.0,2018-11-01,182265.0,5684553151.0
18.0,2018-12-01,179807.0,7983931562.0
18.0,2019-01-01,178482.0,5768317402.0
18.0,2019-02-01,178946.0,5736445094.0
18.0,2019-03-01,179752.0,6290735253.0
